Text,WhoSaid,Context,SourceType,SourceKey
"It took me over a year to get Queen a deal, and everyone turned them down, I mean everyone. I won't name names as some of those people turned out to be my best friends and I don't want to tarnish their reputations! But they know who they are, every one of them.",Jack Nelson,On the long struggle to land Queen a record deal,AsItBeganBook,it-took-me-over-a-year-to-get-queen-a-deal-and-everyone-tur-jack-nelson
"I had been played hundreds of tapes that week, from people's mothers to their howling dogs and by bands and artists interested in the new label. None of them grabbed me, I was bored! Then Ronnie Beck handed me this Queen tape, and I listened. I was knocked out.",Roy Featherstone,"EMI executive, on discovering Queen's demo at the 1973 MIDEM festival",AsItBeganBook,i-had-been-played-hundreds-of-tapes-that-week-from-people-s-roy-featherstone
"Queen had by now played Liverpool so many times that we had a following there. Amongst them were some fans who had taken up our black and white theme, and gone so far as to paint their fingernails alternately black and white. One night after a show they produced their nail varnish bottle, and amidst much drinking, painted Freddie's nails black and mine white.",Brian May,On the origin of the black-and-white nail-varnish look,AsItBeganBook,queen-had-by-now-played-liverpool-so-many-times-that-we-had-brian-may
"Freddie spent a whole hour in front of the mirror in the bedroom, just choosing which belt to wear! He would come out in each one and ask our opinion. We just wanted to go out! He was so vain, but we tolerated it, everyone did. It was part of him, part of his character. He just wouldn't have been Freddie without that vanity.",Helen McConnell,"Close friend, on Freddie's fastidious sense of style",AsItBeganBook,freddie-spent-a-whole-hour-in-front-of-the-mirror-in-the-bed-helen-mcconnell
"Oh, they were full of ideas. They knew how they wanted to look, how they wanted to be represented, how they wanted to be packaged. They just came in to see me, plonked a stack of photos on the desk and said, 'These are what you can use, and this is our logo.' My job from then on wasn't too difficult.",Tony Brainsby,"Queen's early publicist, on the band's clear creative vision",AsItBeganBook,oh-they-were-full-of-ideas-they-knew-how-they-wanted-to-lo-tony-brainsby
"It went somewhat against the grain, and perhaps triggered a growing sense of where my life ought to be going.",Brian May,On working an EMI Electronics job assessing fragmentation-bomb damage while Queen was taking off,AsItBeganBook,it-went-somewhat-against-the-grain-and-perhaps-triggered-a-brian-may
"Their following was really strong, even then. We'd have grandparents turning up with their children and their grandchildren, it was amazing!",Norman Sheffield,"Trident boss, on Queen's early live following",AsItBeganBook,their-following-was-really-strong-even-then-we-d-have-gran-norman-sheffield
"It was all so exciting. It was such a big place, and we had only ever seen him play at little halls before. We were probably the oldest ones there, and as we were taking our seats a young fan came over and asked us who's mum and dad we were. When we told him he asked us for our autographs. It was a wonderful show.",Ruth May,"Brian's mother, on seeing Queen play Hammersmith Odeon for the first time",AsItBeganBook,it-was-all-so-exciting-it-was-such-a-big-place-and-we-had-ruth-may
A great relationship had already grown between the bands off stage. We learned a lot about stagecraft and back-stage organisation from Mott and their entourage - as well as having enormous - and outrageous - fun!,Brian May,On touring as support to Mott the Hoople,AsItBeganBook,a-great-relationship-had-already-grown-between-the-bands-off-brian-may
Hold it! Do you want more Queen?... Do you want more of those Pommy bastards?... Or do you want a good old Aussie band?... How about Madden Lake?,Unnamed Australian DJ/compere,"Manipulating the Sunbury Festival crowd out of demanding a Queen encore, 1974",AsItBeganBook,hold-it-do-you-want-more-queen-do-you-want-more-of-thos-unnamed-australian-dj-compere
"One Tuesday evening I was working late in my Manchester Square office... The windows were wide open and I had the Queen white label on, again! ... As I was about to leave, the phone rang. It was Robin Nash, the producer of BBC's Top Of The Pops. They had a last-minute space in that Thursday's show, and did I know anyone? I said yes.",Ronnie Fowler,"EMI promotions chief, on how Queen landed their first Top of the Pops slot",AsItBeganBook,one-tuesday-evening-i-was-working-late-in-my-manchester-squa-ronnie-fowler
"The day after Top Of The Pops, Steve Harley from Cockney Rebel came storming into my office. He was furious, he slammed his fists on the desk and told me all I cared about was Queen, what about his band? I just looked him in the eye, and said, 'It's your turn on the Pops next week.' I hadn't a clue! I was just trying to placate the man. But believe it or not, by sheer fluke, Cockney Rebel were on the following week.",Ronnie Fowler,On placating a rival band's furious frontman,AsItBeganBook,the-day-after-top-of-the-pops-steve-harley-from-cockney-reb-ronnie-fowler
"It was Jack. He said he'd had Freddie on the phone, who, after listening to the white label test pressing, said it was the wrong mix and that there was no way that mix could be played on the radio.",Ronnie Fowler,On Freddie's insistence on correcting the mix of 'Seven Seas Of Rhye' at the last minute,AsItBeganBook,it-was-jack-he-said-he-d-had-freddie-on-the-phone-who-aft-ronnie-fowler
"Freddie was just being so pedantic, so Brian told him he was an old tart. He got really upset and stormed off... When it came to the soundcheck we couldn't find him anywhere, so they turned up the volume on the mike and Brian started yelling 'Freddiepoos, where are you?' He was livid, but it worked and he came flouncing back in, and the band just got on with it.",Norman Sheffield,"On a backstage row before the Rainbow Theatre show, 1974",AsItBeganBook,freddie-was-just-being-so-pedantic-so-brian-told-him-he-was-norman-sheffield
"They were great. A real 'sex, drugs and rock and roll' band, we knew we were going to have a great tour!",Roger Taylor,On touring America with Mott the Hoople in 1974,AsItBeganBook,they-were-great-a-real-sex-drugs-and-rock-and-roll-band-roger-taylor
"I introduced myself to him, and we just sat down together and decided we really didn't give a damn who went on first. Jo brought out a bottle of Jack Daniel's whisky and we proceeded to get really, really 'relaxed'. We were so drunk we could hardly walk by the time the argument finished. We've been friends ever since!",Brian May,"On meeting Aerosmith's Joe Perry backstage in Harrisburg, 1974",AsItBeganBook,i-introduced-myself-to-him-and-we-just-sat-down-together-an-brian-may
"When we finally went on, I remember, through a haze, whacking the first chord and realising that, among the echo, I couldn't hear a thing. I played the whole show from memory, and decided to compensate by giving it lots of action. Everyone thought it was wonderful! So I decided two things for the future: (1) I would always 'give it action' and (2) I would never drink more than a pint before a show. I have since stuck by both of those resolutions.",Brian May,On the drunken Harrisburg gig with Aerosmith,AsItBeganBook,when-we-finally-went-on-i-remember-through-a-haze-whackin-brian-may
"The first morning I woke up in the Parker House in Boston, I felt like my whole body was made of lead. I tried to eat a grapefruit... then I dragged myself to the bathroom mirror, and saw that I was a deep shade of yellow. That was the end of our dream of conquering America at one shake. I felt I had let everyone down.",Brian May,"On discovering he had hepatitis mid-tour, 1974",AsItBeganBook,the-first-morning-i-woke-up-in-the-parker-house-in-boston-i-brian-may
