Text,WhoSaid,Context,SourceType,SourceKey
"There was no one at all in South America who had the experience to promote anything as huge as a Queen tour, so I personally flew down to Rio, and set up a temporary production office at the Rio Sheraton Hotel for three months. From there I could easily commute to Buenos Aires to keep an eye on the proceedings.",Jim Beach,"Queen's business manager, on organising the unprecedented 1981 South American tour",AsItBeganBook,there-was-no-one-at-all-in-south-america-who-had-the-experie-jim-beach
"I noticed the equipment they were providing us with had, in every case, always belonged to someone else. We were using huge, Super Trouper spotlights, and they all had Earth, Wind and Fire stencilled on the side. Some other piece of equipment had another band's name on too. It just dawned on me that they had obviously 'confiscated' this gear during previous tours.",Gerry Stickells,On suspicious rental equipment supplied for the 1981 Brazil shows,AsItBeganBook,i-noticed-the-equipment-they-were-providing-us-with-had-in-gerry-stickells
"I was standing with an interpreter, and managed to discover that the chap had, in fact, announced that Ethancourt had died. He said there would be a two-minute silence. But none of the band could understand any of this, and I couldn't go and explain as the TV cameras were still filming. They just stood there, looking nonplussed.",Jim Beach,"On a chaotic live Venezuelan TV appearance during the 1981 tour, as news of the president's death broke and was retracted on air",AsItBeganBook,i-was-standing-with-an-interpreter-and-managed-to-discover-jim-beach
"Munich had a huge effect on all our lives. Because we spent so much time there, it became almost another home, and a place in which we lived different lives... In retrospect it's probably true to say that our efficiency in Munich was not very good. Our social habits made us generally start work late in the day, feeling tired, and (for me especially, and perhaps for Freddie) the emotional distractions became destructive.",Brian May,Reflecting on Queen's Munich recording years and their toll,AsItBeganBook,munich-had-a-huge-effect-on-all-our-lives-because-we-spent-brian-may
"I was terrified. I don't like flying in anything smaller than a jumbo jet, darling, and this thing was so small! But I was told we had photographers and the like at the other end waiting for us to arrive, so I couldn't possibly let them see how shaken I was! My knuckles were white from gripping the arm rests.",Freddie Mercury,"On his first-ever helicopter flight, to Milton Keynes, 1982",AsItBeganBook,i-was-terrified-i-don-t-like-flying-in-anything-smaller-tha-freddie-mercury
"None of us thought it was a very good gig at the time, we were wishing they had filmed Leeds. I particularly found it hard to get the sound right, and couldn't hear the monitors very well. But Tyne Tees filmed it, and mixed it themselves, with no help from us; and we now think it's one of the better videos of our live shows.",Brian May,"On the surprisingly good Milton Keynes concert film, despite a rough night on stage",AsItBeganBook,none-of-us-thought-it-was-a-very-good-gig-at-the-time-we-we-brian-may
"Boston had been one of the first American cities to really break for us. They were all so enthusiastic, they had parades and Queen events, it was just great, they loved us.",Brian May,On Boston's official 'Queen Day' in 1982,AsItBeganBook,boston-had-been-one-of-the-first-american-cities-to-really-b-brian-may
"We went into the studios for this album with the definite agreement among ourselves that it would not be delivered to Elektra Records. Freddie, in particular, was adamant that to do so would be throwing it away, since he felt the company no longer seemed capable of doing their job. However, we also realised that to buy our way out of the existing deal was going to be expensive, and John, particularly, felt that it may be a huge waste of money. While we recorded, Jim was delegated to sort it out. In the event, we paid $1 million to get out.",Brian May,On Queen's costly split from Elektra Records to sign with Capitol,AsItBeganBook,we-went-into-the-studios-for-this-album-with-the-definite-ag-brian-may
"In spite of an enthusiastic start with the new company, The Works did, if anything, worse than Hot Space overall in the USA. But this has to be balanced against the fact that Freddie was so depressed about the Elektra situation, it was doubtful if he ever would have agreed to make the album at all.",Brian May,Reflecting on the making and reception of The Works,AsItBeganBook,in-spite-of-an-enthusiastic-start-with-the-new-company-the-brian-may
"We had done some really serious, epic videos in the past, and we just thought it was time we had some fun. We wanted people to know that we didn't take ourselves too seriously, that we could still laugh at ourselves. I think we proved that.",Roger Taylor,"On the outrageous, controversial 'I Want To Break Free' video",AsItBeganBook,we-had-done-some-really-serious-epic-videos-in-the-past-an-roger-taylor
